Disease,Treatment,Tablet Name,Dosage,Time Taken,Effect Time Duration,Which Age,Company,Purity,Side Effects,Price
Allergy,Antihistamine Therapy,Loratadine,150 mg,As needed (SOS),6 hours,36-50,Wellspring Rx,99.3%,"Drowsiness, Insomnia, Constipation",₹629.79
Chronic Pain,Analgesic Therapy,Paracetamol,750 mg,Every 6 hours,8 hours,0-12,Wellspring Rx,97.1%,Mild rash,₹245.99
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,150 mg,Twice daily - Morning & Night,12 hours,36-50,Sunrise Pharma,96.9%,"Headache, Stomach upset, Fatigue",₹622.81
Asthma,Steroid Inhalation,Salbutamol,5 mg,Every 8 hours,8 hours,51-65,TrueMed Industries,95.6%,"Stomach upset, Nausea",₹41.64
Allergy,Antihistamine Therapy,Loratadine,2.5 mg,Twice daily - Morning & Night,2 hours,36-50,Zenith Biocare,99.7%,"Stomach upset, Fatigue, Headache",₹137.80
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,300 mg,Once daily - Night,4 hours,19-35,Cygnus Life Sciences,97.5%,Constipation,₹750.16
Arthritis,NSAID Therapy,Diclofenac,750 mg,Twice daily - Morning & Night,18 hours,51-65,Wellspring Rx,98.6%,Stomach upset,₹750.58
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,1000 mg,Before meals,4 hours,51-65,Greenfield Biotech,98.8%,"Dry mouth, Blurred vision",₹496.63
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,50 mg,As needed (SOS),6 hours,19-35,Cygnus Life Sciences,99.8%,"Blurred vision, Nausea",₹622.50
Vitamin D Deficiency,Supplementation,Cholecalciferol,50 mg,Every 8 hours,4 hours,36-50,MedLife Labs,98.4%,"Dizziness, Dry mouth, Headache",₹779.41
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,500 mg,After meals,24 hours,36-50,Zenith Biocare,95.2%,Constipation,₹741.01
Acidity / GERD,Antacid Therapy,Omeprazole,200 mg,Thrice daily - After meals,2 hours,51-65,Horizon Meds,99.4%,"None reported, Loss of appetite",₹808.45
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,650 mg,As needed (SOS),2 hours,65+,PurePath Pharma,95.8%,Constipation,₹512.69
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,250 mg,Once daily - Morning,10 hours,36-50,Silver Cross Pharma,97.3%,"Loss of appetite, None reported",₹744.37
Arthritis,NSAID Therapy,Diclofenac,500 mg,As needed (SOS),6 hours,19-35,Silver Cross Pharma,99.6%,None reported,₹175.47
Depression,Antidepressant Therapy,Sertraline,150 mg,Twice daily - Morning & Night,2 hours,65+,Horizon Meds,98.0%,Blurred vision,₹679.00
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,25 mg,Once daily - Morning,6 hours,36-50,Silver Cross Pharma,97.4%,"None reported, Stomach upset",₹103.90
Insomnia,Sedative Therapy,Doxylamine,650 mg,Thrice daily - After meals,12 hours,19-35,Silver Cross Pharma,96.5%,Blurred vision,₹327.97
Vitamin D Deficiency,Supplementation,Cholecalciferol,150 mg,Every 8 hours,6 hours,19-35,Nova Health,98.3%,Blurred vision,₹236.26
Vitamin D Deficiency,Supplementation,Cholecalciferol,2.5 mg,Twice daily - Morning & Night,12 hours,19-35,Wellspring Rx,97.1%,"Dry mouth, Blurred vision, Constipation",₹128.14
Vitamin D Deficiency,Supplementation,Cholecalciferol,650 mg,Once daily - Night,18 hours,65+,Zenith Biocare,98.0%,"Insomnia, Drowsiness, Dry mouth",₹397.68
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,25 mg,Once weekly,6 hours,65+,Sunrise Pharma,98.1%,Stomach upset,₹108.41
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,500 mg,Every 8 hours,10 hours,36-50,TrueMed Industries,98.2%,"Mild rash, Blurred vision, Dizziness",₹717.82
Chronic Pain,Analgesic Therapy,Diclofenac,10 mg,Once weekly,24 hours,0-12,Greenfield Biotech,97.0%,Dry mouth,₹821.05
Common Cold,Antihistamine Therapy,Cetrizine,650 mg,Once daily - Night,24 hours,0-12,Nova Health,96.9%,"None reported, Insomnia",₹495.73
Insomnia,Sedative Therapy,Doxylamine,150 mg,Every 8 hours,24 hours,51-65,Silver Cross Pharma,96.2%,"Nausea, Mild rash, Diarrhea",₹214.97
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,10 mg,Once daily - Night,4 hours,0-12,Greenfield Biotech,99.1%,"Loss of appetite, Stomach upset, Dizziness",₹692.51
Migraine,Analgesic Therapy,Rizatriptan,650 mg,Thrice daily - After meals,18 hours,36-50,Horizon Meds,99.5%,"Nausea, Mild rash",₹32.06
Allergy,Antihistamine Therapy,Loratadine,5 mg,Every 8 hours,10 hours,51-65,MedLife Labs,99.2%,"Fatigue, Mild rash",₹602.44
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,250 mg,Every 6 hours,6 hours,51-65,Nova Health,99.8%,"Constipation, Mild rash, Loss of appetite",₹640.28
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,50 mg,Once daily - Night,2 hours,0-12,Greenfield Biotech,95.8%,"Blurred vision, Dizziness",₹73.59
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,650 mg,Before meals,24 hours,51-65,Silver Cross Pharma,99.1%,None reported,₹176.00
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,50 mg,Once weekly,6 hours,36-50,Cygnus Life Sciences,99.3%,Nausea,₹204.39
Bacterial Infection,Antibiotic Therapy,Amoxicillin,100 mg,Thrice daily - After meals,4 hours,51-65,Horizon Meds,97.0%,"Mild rash, Fatigue, Dizziness",₹401.61
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,1000 mg,After meals,24 hours,13-18,Greenfield Biotech,96.4%,"Drowsiness, Blurred vision, Diarrhea",₹415.98
Depression,Antidepressant Therapy,Escitalopram,1000 mg,Twice daily - Morning & Night,2 hours,36-50,MedLife Labs,97.6%,"Drowsiness, Dizziness",₹643.84
Hypertension,Beta Blocker Therapy,Metoprolol,650 mg,After meals,10 hours,0-12,PurePath Pharma,96.1%,"Constipation, None reported, Blurred vision",₹844.08
Osteoporosis,Supplementation,Calcium + Vitamin D3,500 mg,Twice daily - Morning & Night,8 hours,19-35,Vitacore Pharmaceuticals,95.4%,"Dizziness, Dry mouth, Constipation",₹603.00
Insomnia,Sedative Therapy,Melatonin,5 mg,Once weekly,24 hours,19-35,Silver Cross Pharma,96.0%,Dizziness,₹628.61
Osteoporosis,Supplementation,Alendronate,300 mg,Every 6 hours,24 hours,36-50,Sunrise Pharma,98.1%,Blurred vision,₹177.39
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,50 mg,Every 6 hours,2 hours,0-12,Zenith Biocare,97.5%,"Drowsiness, Diarrhea, Blurred vision",₹109.27
Chronic Pain,Analgesic Therapy,Diclofenac,250 mg,Once daily - Morning,2 hours,19-35,Horizon Meds,96.1%,Drowsiness,₹547.80
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,10 mg,Thrice daily - After meals,24 hours,65+,MedLife Labs,96.5%,Constipation,₹320.34
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,200 mg,Before meals,8 hours,51-65,TrueMed Industries,98.6%,"Stomach upset, Mild rash",₹40.92
Hypertension,ACE Inhibitor Therapy,Metoprolol,10 mg,After meals,8 hours,36-50,Greenfield Biotech,96.9%,Stomach upset,₹407.86
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,150 mg,Once weekly,6 hours,51-65,Greenfield Biotech,96.2%,"Dry mouth, Mild rash",₹422.91
Insomnia,Sedative Therapy,Doxylamine,1000 mg,Every 8 hours,2 hours,13-18,Cygnus Life Sciences,97.7%,Headache,₹564.77
Insomnia,Sedative Therapy,Melatonin,1000 mg,Once daily - Morning,8 hours,36-50,Horizon Meds,97.9%,None reported,₹563.35
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,250 mg,As needed (SOS),6 hours,36-50,Vitacore Pharmaceuticals,95.0%,"Stomach upset, Diarrhea, None reported",₹31.46
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,500 mg,Every 6 hours,8 hours,51-65,TrueMed Industries,98.8%,"Loss of appetite, Blurred vision",₹355.72
Headache,Analgesic Therapy,Ibuprofen,5 mg,Before meals,6 hours,51-65,PurePath Pharma,99.1%,Dry mouth,₹489.89
Allergy,Antihistamine Therapy,Levocetirizine,300 mg,Before meals,12 hours,19-35,Silver Cross Pharma,99.1%,Mild rash,₹810.46
Osteoporosis,Supplementation,Alendronate,250 mg,Once daily - Morning,2 hours,0-12,Sunrise Pharma,97.0%,"Constipation, Nausea, Loss of appetite",₹412.45
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,10 mg,Once daily - Night,8 hours,0-12,Nova Health,95.1%,"Mild rash, Stomach upset",₹449.11
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,750 mg,Once daily - Morning,8 hours,65+,Silver Cross Pharma,97.7%,Fatigue,₹518.20
Cough & Cold,Antitussive Therapy,Dextromethorphan,200 mg,Every 8 hours,2 hours,19-35,Vitacore Pharmaceuticals,96.1%,"Loss of appetite, Diarrhea",₹103.67
Arthritis,NSAID Therapy,Naproxen,200 mg,Once daily - Night,4 hours,36-50,Cygnus Life Sciences,98.2%,Fatigue,₹789.07
Hypertension,Diuretic Therapy,Losartan,1000 mg,Once daily - Night,10 hours,36-50,Vitacore Pharmaceuticals,96.9%,Headache,₹549.64
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,1000 mg,Thrice daily - After meals,18 hours,19-35,Horizon Meds,95.9%,"Blurred vision, None reported",₹104.01
Chronic Pain,Analgesic Therapy,Tramadol,100 mg,Before meals,18 hours,0-12,Wellspring Rx,95.8%,"Blurred vision, Fatigue, Nausea",₹47.99
Fever,Antipyretic Therapy,Aspirin,250 mg,Twice daily - Morning & Night,6 hours,13-18,Nova Health,97.2%,"Insomnia, Loss of appetite",₹346.36
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,1000 mg,Every 6 hours,24 hours,19-35,Wellspring Rx,95.6%,"Insomnia, Dry mouth, Blurred vision",₹128.44
Headache,Analgesic Therapy,Naproxen,2.5 mg,Every 6 hours,2 hours,19-35,Zenith Biocare,96.5%,"Loss of appetite, Fatigue",₹405.98
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,50 mg,Before meals,12 hours,51-65,Horizon Meds,96.2%,"Blurred vision, Nausea",₹128.81
Allergy,Antihistamine Therapy,Cetrizine,500 mg,Thrice daily - After meals,10 hours,65+,Zenith Biocare,97.9%,"Drowsiness, Fatigue",₹676.38
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,750 mg,Every 6 hours,12 hours,13-18,Silver Cross Pharma,97.2%,"Blurred vision, Nausea",₹264.93
Arthritis,NSAID Therapy,Ibuprofen,300 mg,Every 8 hours,12 hours,36-50,Greenfield Biotech,95.1%,None reported,₹807.11
Allergy,Antihistamine Therapy,Cetrizine,750 mg,Thrice daily - After meals,8 hours,51-65,MedLife Labs,96.1%,Blurred vision,₹825.85
Chronic Pain,Analgesic Therapy,Paracetamol,100 mg,Once weekly,10 hours,51-65,Nova Health,97.3%,Drowsiness,₹234.35
Depression,Antidepressant Therapy,Sertraline,50 mg,Once weekly,12 hours,36-50,Zenith Biocare,99.5%,"Drowsiness, Dizziness",₹207.58
Fever,Antipyretic Therapy,Paracetamol,5 mg,Twice daily - Morning & Night,10 hours,13-18,Silver Cross Pharma,96.2%,"Loss of appetite, Insomnia, Mild rash",₹635.51
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,25 mg,Every 6 hours,2 hours,36-50,Zenith Biocare,96.3%,Diarrhea,₹560.70
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,25 mg,Every 8 hours,10 hours,65+,Cygnus Life Sciences,96.0%,"Loss of appetite, Stomach upset, Diarrhea",₹849.56
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,50 mg,Before meals,10 hours,0-12,PurePath Pharma,98.2%,"Loss of appetite, None reported, Insomnia",₹811.79
Asthma,Bronchodilator Therapy,Montelukast,150 mg,Every 6 hours,10 hours,65+,Nova Health,95.7%,"Dry mouth, Fatigue",₹473.75
Fever,Antipyretic Therapy,Ibuprofen,100 mg,As needed (SOS),8 hours,19-35,Horizon Meds,97.4%,Fatigue,₹10.62
Fever,Antipyretic Therapy,Ibuprofen,25 mg,Twice daily - Morning & Night,8 hours,36-50,Greenfield Biotech,97.8%,None reported,₹786.31
Chronic Pain,Analgesic Therapy,Paracetamol,1000 mg,Thrice daily - After meals,2 hours,19-35,Greenfield Biotech,96.1%,"Headache, Dry mouth, Fatigue",₹569.86
Asthma,Bronchodilator Therapy,Salbutamol,25 mg,Once daily - Night,6 hours,19-35,Greenfield Biotech,95.1%,"Headache, Mild rash, Diarrhea",₹526.90
Arthritis,NSAID Therapy,Naproxen,2.5 mg,Once daily - Night,10 hours,13-18,Silver Cross Pharma,97.8%,"Stomach upset, Nausea",₹19.05
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,25 mg,Every 6 hours,12 hours,36-50,Wellspring Rx,97.0%,"None reported, Stomach upset, Drowsiness",₹133.10
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,5 mg,Once daily - Morning,2 hours,0-12,TrueMed Industries,96.2%,"Blurred vision, Diarrhea",₹197.24
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,750 mg,Once weekly,24 hours,65+,Sunrise Pharma,95.4%,"Dizziness, None reported, Loss of appetite",₹261.37
Common Cold,Symptomatic Relief,Chlorpheniramine,250 mg,Thrice daily - After meals,12 hours,19-35,Sunrise Pharma,99.9%,"Nausea, Headache",₹639.00
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,650 mg,Once daily - Night,12 hours,51-65,Silver Cross Pharma,95.6%,"Dry mouth, Dizziness",₹814.66
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,750 mg,Once weekly,4 hours,13-18,PurePath Pharma,98.6%,"Insomnia, Constipation, Loss of appetite",₹781.49
Hypertension,Diuretic Therapy,Amlodipine,200 mg,Every 6 hours,2 hours,65+,TrueMed Industries,97.8%,Insomnia,₹496.60
Bacterial Infection,Antibiotic Therapy,Amoxicillin,650 mg,Once daily - Night,8 hours,0-12,Wellspring Rx,95.5%,Headache,₹160.41
Arthritis,NSAID Therapy,Naproxen,150 mg,Every 6 hours,10 hours,51-65,Sunrise Pharma,99.6%,Insomnia,₹416.29
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,200 mg,Every 8 hours,8 hours,0-12,TrueMed Industries,97.5%,"Drowsiness, Headache, Constipation",₹520.48
Cough & Cold,Antitussive Therapy,Dextromethorphan,5 mg,Once daily - Night,12 hours,51-65,Horizon Meds,97.4%,"Stomach upset, Blurred vision, Fatigue",₹728.49
Allergy,Antihistamine Therapy,Cetrizine,25 mg,Once daily - Night,12 hours,51-65,TrueMed Industries,96.6%,Insomnia,₹122.31
Vitamin D Deficiency,Supplementation,Cholecalciferol,25 mg,Thrice daily - After meals,6 hours,51-65,TrueMed Industries,95.8%,"Headache, Loss of appetite",₹472.32
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,650 mg,After meals,6 hours,13-18,Silver Cross Pharma,95.5%,None reported,₹697.23
Asthma,Bronchodilator Therapy,Budesonide,150 mg,Once daily - Morning,24 hours,65+,Sunrise Pharma,99.3%,"Blurred vision, Stomach upset, Mild rash",₹483.15
Headache,Analgesic Therapy,Paracetamol,25 mg,As needed (SOS),18 hours,0-12,Greenfield Biotech,97.0%,Dizziness,₹265.33
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,500 mg,Every 8 hours,2 hours,19-35,Cygnus Life Sciences,99.0%,None reported,₹403.12
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,300 mg,Once weekly,12 hours,36-50,Greenfield Biotech,98.3%,Mild rash,₹737.93
Common Cold,Rest & Hydration,Cetrizine,1000 mg,Once daily - Morning,6 hours,36-50,Vitacore Pharmaceuticals,95.6%,Nausea,₹518.59
Allergy,Antihistamine Therapy,Levocetirizine,650 mg,Twice daily - Morning & Night,12 hours,13-18,Nova Health,99.1%,"Dry mouth, Dizziness",₹816.66
Osteoporosis,Supplementation,Alendronate,650 mg,Every 6 hours,12 hours,0-12,Cygnus Life Sciences,98.4%,"Diarrhea, Constipation, Mild rash",₹808.95
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,5 mg,Every 6 hours,6 hours,0-12,Vitacore Pharmaceuticals,97.9%,"Dry mouth, Loss of appetite, None reported",₹138.03
Migraine,Analgesic Therapy,Paracetamol,300 mg,Before meals,2 hours,36-50,MedLife Labs,96.4%,"Insomnia, Dry mouth, Loss of appetite",₹841.11
Fever,Antipyretic Therapy,Aspirin,500 mg,Once daily - Night,24 hours,0-12,Silver Cross Pharma,96.7%,Insomnia,₹828.26
Allergy,Antihistamine Therapy,Loratadine,1000 mg,Before meals,6 hours,65+,PurePath Pharma,95.4%,Drowsiness,₹747.16
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,1000 mg,Thrice daily - After meals,10 hours,13-18,Nova Health,96.6%,"Nausea, Stomach upset, Headache",₹453.16
Acidity / GERD,Antacid Therapy,Omeprazole,50 mg,Once daily - Morning,12 hours,19-35,PurePath Pharma,95.9%,Dizziness,₹168.27
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,150 mg,After meals,8 hours,0-12,Nova Health,95.0%,"None reported, Constipation, Fatigue",₹16.63
Acidity / GERD,Antacid Therapy,Omeprazole,25 mg,Once daily - Night,24 hours,36-50,Silver Cross Pharma,96.1%,"Blurred vision, Constipation, Drowsiness",₹776.58
Migraine,Triptan Therapy,Sumatriptan,750 mg,As needed (SOS),6 hours,0-12,Nova Health,99.4%,"Dizziness, Fatigue",₹517.76
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,250 mg,Every 6 hours,12 hours,65+,Nova Health,98.2%,"Stomach upset, Dizziness, Dry mouth",₹164.10
Allergy,Antihistamine Therapy,Levocetirizine,2.5 mg,Thrice daily - After meals,10 hours,13-18,TrueMed Industries,97.8%,"Dry mouth, Dizziness, Diarrhea",₹528.30
Hypertension,Beta Blocker Therapy,Metoprolol,650 mg,Thrice daily - After meals,18 hours,13-18,PurePath Pharma,98.8%,"Fatigue, Mild rash, None reported",₹260.19
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,250 mg,Twice daily - Morning & Night,6 hours,65+,Nova Health,99.5%,"Dry mouth, None reported",₹570.78
Depression,Antidepressant Therapy,Fluoxetine,650 mg,Thrice daily - After meals,12 hours,19-35,PurePath Pharma,95.2%,"Dizziness, Dry mouth",₹306.41
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,150 mg,As needed (SOS),18 hours,0-12,Cygnus Life Sciences,95.6%,Insomnia,₹501.07
Depression,Antidepressant Therapy,Fluoxetine,10 mg,Every 6 hours,12 hours,19-35,Vitacore Pharmaceuticals,96.8%,"None reported, Headache",₹686.42
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,2.5 mg,Once weekly,10 hours,51-65,Vitacore Pharmaceuticals,95.1%,Drowsiness,₹622.19
Bacterial Infection,Antibiotic Therapy,Amoxicillin,10 mg,Every 8 hours,6 hours,13-18,Zenith Biocare,99.3%,Headache,₹613.60
Cough & Cold,Antitussive Therapy,Dextromethorphan,10 mg,As needed (SOS),6 hours,51-65,Horizon Meds,95.8%,"Loss of appetite, Diarrhea",₹741.79
Cough & Cold,Antitussive Therapy,Ambroxol,750 mg,Once daily - Night,12 hours,19-35,MedLife Labs,95.7%,"Nausea, Dizziness, Fatigue",₹267.94
Migraine,Analgesic Therapy,Paracetamol,2.5 mg,Once weekly,24 hours,51-65,Horizon Meds,96.7%,"Stomach upset, Fatigue, Insomnia",₹762.37
Vitamin D Deficiency,Supplementation,Cholecalciferol,300 mg,After meals,4 hours,51-65,Wellspring Rx,96.5%,Loss of appetite,₹399.89
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,50 mg,Once weekly,4 hours,51-65,TrueMed Industries,99.4%,"Fatigue, Blurred vision, Constipation",₹781.60
Vitamin D Deficiency,Supplementation,Cholecalciferol,150 mg,Once daily - Morning,2 hours,0-12,Cygnus Life Sciences,99.2%,Constipation,₹100.90
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,100 mg,Once daily - Morning,8 hours,36-50,Cygnus Life Sciences,96.6%,Fatigue,₹571.29
Chronic Pain,Analgesic Therapy,Paracetamol,1000 mg,Before meals,6 hours,36-50,Greenfield Biotech,99.5%,"Loss of appetite, Fatigue",₹532.78
Acidity / GERD,Antacid Therapy,Omeprazole,750 mg,After meals,24 hours,19-35,Wellspring Rx,95.5%,Loss of appetite,₹690.17
Vitamin D Deficiency,Supplementation,Cholecalciferol,5 mg,Before meals,12 hours,0-12,Nova Health,98.5%,"None reported, Dizziness, Drowsiness",₹437.00
Arthritis,NSAID Therapy,Naproxen,5 mg,Before meals,2 hours,19-35,TrueMed Industries,99.0%,"Stomach upset, Fatigue, Blurred vision",₹83.82
Vitamin D Deficiency,Supplementation,Cholecalciferol,300 mg,As needed (SOS),18 hours,36-50,Vitacore Pharmaceuticals,98.6%,Nausea,₹561.77
High Cholesterol,Statin Therapy,Atorvastatin,200 mg,After meals,10 hours,51-65,PurePath Pharma,98.3%,Headache,₹466.16
Peptic Ulcer,Proton Pump Inhibitor,Pantoprazole,150 mg,As needed (SOS),8 hours,0-12,TrueMed Industries,96.2%,"Mild rash, Dizziness, Dry mouth",₹573.64
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,50 mg,Twice daily - Morning & Night,8 hours,13-18,Zenith Biocare,99.0%,"Blurred vision, Dizziness, Insomnia",₹598.29
Vitamin D Deficiency,Supplementation,Cholecalciferol,100 mg,Every 8 hours,24 hours,65+,Sunrise Pharma,99.2%,"Mild rash, Blurred vision",₹461.88
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,2.5 mg,Thrice daily - After meals,2 hours,65+,Cygnus Life Sciences,99.6%,Headache,₹758.33
Insomnia,Sedative Therapy,Doxylamine,300 mg,Before meals,10 hours,65+,Horizon Meds,98.0%,None reported,₹36.99
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,500 mg,Once daily - Night,18 hours,13-18,PurePath Pharma,96.7%,Dizziness,₹363.21
Fever,Antipyretic Therapy,Paracetamol,300 mg,Once weekly,6 hours,13-18,Sunrise Pharma,97.9%,Headache,₹666.78
Fever,Antipyretic Therapy,Ibuprofen,1000 mg,Once daily - Night,2 hours,13-18,TrueMed Industries,95.3%,"Insomnia, Stomach upset, Constipation",₹333.27
Osteoporosis,Supplementation,Calcium + Vitamin D3,100 mg,Once weekly,2 hours,36-50,TrueMed Industries,98.5%,Headache,₹82.53
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,200 mg,Every 8 hours,4 hours,65+,Zenith Biocare,95.3%,Mild rash,₹124.27
Acidity / GERD,Proton Pump Inhibitor,Pantoprazole,650 mg,Every 8 hours,8 hours,65+,Horizon Meds,96.5%,Fatigue,₹517.03
Cough & Cold,Antitussive Therapy,Ambroxol,5 mg,Every 8 hours,4 hours,65+,PurePath Pharma,98.5%,"Stomach upset, Headache, Dry mouth",₹518.57
Vitamin D Deficiency,Supplementation,Cholecalciferol,250 mg,Every 6 hours,18 hours,0-12,Zenith Biocare,96.1%,Insomnia,₹309.86
Common Cold,Rest & Hydration,Paracetamol,150 mg,Every 8 hours,24 hours,51-65,Zenith Biocare,98.1%,"Dry mouth, Loss of appetite",₹362.24
Hypertension,Diuretic Therapy,Losartan,750 mg,Every 6 hours,6 hours,36-50,Horizon Meds,98.7%,"Fatigue, Insomnia",₹402.76
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,250 mg,Once weekly,10 hours,19-35,Cygnus Life Sciences,98.1%,None reported,₹109.27
Osteoporosis,Supplementation,Alendronate,50 mg,Every 8 hours,18 hours,19-35,MedLife Labs,97.2%,Fatigue,₹388.14
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,5 mg,Twice daily - Morning & Night,2 hours,36-50,Nova Health,98.9%,"Nausea, Mild rash, Insomnia",₹314.97
Common Cold,Antihistamine Therapy,Phenylephrine Combo,150 mg,After meals,12 hours,0-12,Silver Cross Pharma,99.0%,"Mild rash, Loss of appetite",₹158.29
Common Cold,Symptomatic Relief,Cetrizine,750 mg,Thrice daily - After meals,12 hours,19-35,Horizon Meds,97.4%,"Loss of appetite, Drowsiness, Blurred vision",₹416.32
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,2.5 mg,After meals,6 hours,65+,Silver Cross Pharma,95.2%,"Insomnia, Constipation",₹324.57
Headache,Analgesic Therapy,Paracetamol,25 mg,Thrice daily - After meals,12 hours,0-12,MedLife Labs,96.4%,Headache,₹234.66
Arthritis,NSAID Therapy,Naproxen,25 mg,Thrice daily - After meals,6 hours,19-35,Greenfield Biotech,95.8%,Nausea,₹192.88
Headache,Analgesic Therapy,Paracetamol,25 mg,Before meals,4 hours,36-50,Horizon Meds,98.8%,Fatigue,₹103.63
Headache,Analgesic Therapy,Paracetamol,250 mg,After meals,2 hours,65+,Vitacore Pharmaceuticals,96.3%,Dizziness,₹752.41
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,50 mg,Once weekly,6 hours,51-65,Sunrise Pharma,98.4%,Stomach upset,₹602.41
Cough & Cold,Antitussive Therapy,Ambroxol,1000 mg,After meals,18 hours,19-35,Greenfield Biotech,96.1%,Headache,₹482.16
Cough & Cold,Antitussive Therapy,Dextromethorphan,5 mg,Every 6 hours,10 hours,13-18,PurePath Pharma,99.5%,"Blurred vision, Diarrhea",₹69.56
Vitamin D Deficiency,Supplementation,Cholecalciferol,750 mg,Twice daily - Morning & Night,10 hours,65+,Sunrise Pharma,99.1%,"Dry mouth, Mild rash",₹290.39
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,10 mg,Twice daily - Morning & Night,2 hours,19-35,Cygnus Life Sciences,97.6%,Insomnia,₹154.12
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,10 mg,Every 6 hours,2 hours,13-18,Wellspring Rx,99.1%,"Dry mouth, Diarrhea",₹225.15
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,150 mg,As needed (SOS),4 hours,65+,Nova Health,97.4%,"Mild rash, Constipation",₹62.58
Osteoporosis,Supplementation,Alendronate,650 mg,Thrice daily - After meals,2 hours,36-50,Wellspring Rx,96.0%,Mild rash,₹796.36
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,2.5 mg,Thrice daily - After meals,24 hours,51-65,TrueMed Industries,96.9%,Blurred vision,₹415.89
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,250 mg,Every 6 hours,24 hours,19-35,Vitacore Pharmaceuticals,97.9%,"Constipation, Nausea",₹353.75
Headache,Analgesic Therapy,Paracetamol,300 mg,Before meals,18 hours,0-12,Greenfield Biotech,97.0%,Loss of appetite,₹166.16
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,150 mg,Once weekly,10 hours,19-35,PurePath Pharma,95.5%,"Diarrhea, Headache",₹351.35
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,650 mg,Twice daily - Morning & Night,12 hours,0-12,Greenfield Biotech,99.1%,"Headache, Diarrhea",₹474.87
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,200 mg,Once daily - Morning,8 hours,36-50,Vitacore Pharmaceuticals,95.5%,"Headache, Constipation",₹616.41
